complex_id	complex_name	protein_id
2351	ITGB6-FYN-FN1 complex	P02751
2351	ITGB6-FYN-FN1 complex	P06241
2351	ITGB6-FYN-FN1 complex	P18564
2352	ITGAV-ITGB6-SPP1 complex	P06756
2352	ITGAV-ITGB6-SPP1 complex	P18564
2352	ITGAV-ITGB6-SPP1 complex	P10451
2353	ITGAV-ITGB6-TGFB3 complex	P06756
2353	ITGAV-ITGB6-TGFB3 complex	P18564
2353	ITGAV-ITGB6-TGFB3 complex	P10600
2354	ITGAV-ITGB6 complex	P06756
2354	ITGAV-ITGB6 complex	P18564
2355	ITGAV-ITGB3-CD47-FCER2 complex	Q08722
2355	ITGAV-ITGB3-CD47-FCER2 complex	P06734
2355	ITGAV-ITGB3-CD47-FCER2 complex	P06756
2355	ITGAV-ITGB3-CD47-FCER2 complex	P05106
2356	ITGB3-ITGAV-CD47 complex	Q08722
2356	ITGB3-ITGAV-CD47 complex	P06756
2356	ITGB3-ITGAV-CD47 complex	P05106
2358	ITGAV-ITGB3-SPP1 complex	P06756
2358	ITGAV-ITGB3-SPP1 complex	P05106
2358	ITGAV-ITGB3-SPP1 complex	P10451
2359	ITGAV-ITGB3-ADAM15 complex	Q13444
2359	ITGAV-ITGB3-ADAM15 complex	P06756
2359	ITGAV-ITGB3-ADAM15 complex	P05106
236	WICH complex	Q9UIG0
236	WICH complex	O60264
2362	ITAGV-ITGB3-F11R complex	Q9Y624
2362	ITAGV-ITGB3-F11R complex	P06756
2362	ITAGV-ITGB3-F11R complex	P05106
2363	ITGAV-ITGB3-PXN-PTK2b complex	P06756
2363	ITGAV-ITGB3-PXN-PTK2b complex	P05106
2363	ITGAV-ITGB3-PXN-PTK2b complex	Q14289
2363	ITGAV-ITGB3-PXN-PTK2b complex	P49023
2364	ITGAV-ITGB3-ADAM23 complex	O75077
2364	ITGAV-ITGB3-ADAM23 complex	P06756
2364	ITGAV-ITGB3-ADAM23 complex	P05106
2365	ITGAV-ITGB3-COL4A3 complex	Q01955
2365	ITGAV-ITGB3-COL4A3 complex	P06756
2365	ITGAV-ITGB3-COL4A3 complex	P05106
2366	ITGAV-ITGB3-PPAP2b complex	P06756
2366	ITGAV-ITGB3-PPAP2b complex	P05106
2366	ITGAV-ITGB3-PPAP2b complex	O14495
2369	ITGAV-ITGB3-EGFR complex	P00533
2369	ITGAV-ITGB3-EGFR complex	P06756
2369	ITGAV-ITGB3-EGFR complex	P05106
2370	ITGA2b-ITGB3-CD9 complex	P21926
2370	ITGA2b-ITGB3-CD9 complex	P08514
2370	ITGA2b-ITGB3-CD9 complex	P05106
2373	ITGAV-ITGB3-SPP1 complex	P06756
2373	ITGAV-ITGB3-SPP1 complex	P05106
2373	ITGAV-ITGB3-SPP1 complex	P10451
2374	ITGAV-ITGB3-LAMA4 complex	P06756
2374	ITGAV-ITGB3-LAMA4 complex	P05106
2374	ITGAV-ITGB3-LAMA4 complex	Q16363
2375	FN1-TGM2 complex	P02751
2375	FN1-TGM2 complex	P21980
2376	ITGA2B-ITGB3-FN1-TGM2 complex	P02751
2376	ITGA2B-ITGB3-FN1-TGM2 complex	P08514
2376	ITGA2B-ITGB3-FN1-TGM2 complex	P05106
2376	ITGA2B-ITGB3-FN1-TGM2 complex	P21980
2377	ITGA2b-ITGB3-CD47-SRC complex	Q08722
2377	ITGA2b-ITGB3-CD47-SRC complex	P08514
2377	ITGA2b-ITGB3-CD47-SRC complex	P05106
2377	ITGA2b-ITGB3-CD47-SRC complex	P12931
2378	ITGA2b-ITGB3-TLN1 complex	P08514
2378	ITGA2b-ITGB3-TLN1 complex	P05106
2378	ITGA2b-ITGB3-TLN1 complex	Q9Y490
2379	ITGA2B-ITGB3-CIB1 complex	Q99828
2379	ITGA2B-ITGB3-CIB1 complex	P08514
2379	ITGA2B-ITGB3-CIB1 complex	P05106
238-1	SWI-SNF chromatin remodeling-related-BRCA1 complex-1	O96019
238-1	SWI-SNF chromatin remodeling-related-BRCA1 complex-1	P38398
238-1	SWI-SNF chromatin remodeling-related-BRCA1 complex-1	P51531
238-1	SWI-SNF chromatin remodeling-related-BRCA1 complex-1	P51532
238-1	SWI-SNF chromatin remodeling-related-BRCA1 complex-1	Q12824
238-1	SWI-SNF chromatin remodeling-related-BRCA1 complex-1	Q92922
238-1	SWI-SNF chromatin remodeling-related-BRCA1 complex-1	Q8TAQ2
238-1	SWI-SNF chromatin remodeling-related-BRCA1 complex-1	Q92925
238-1	SWI-SNF chromatin remodeling-related-BRCA1 complex-1	Q969G3
238-1	SWI-SNF chromatin remodeling-related-BRCA1 complex-1	O14497
238-2	SWI-SNF chromatin remodeling-related-BRCA1 complex-2	O96019
238-2	SWI-SNF chromatin remodeling-related-BRCA1 complex-2	P38398
238-2	SWI-SNF chromatin remodeling-related-BRCA1 complex-2	P51531
238-2	SWI-SNF chromatin remodeling-related-BRCA1 complex-2	P51532
238-2	SWI-SNF chromatin remodeling-related-BRCA1 complex-2	Q12824
238-2	SWI-SNF chromatin remodeling-related-BRCA1 complex-2	Q92922
238-2	SWI-SNF chromatin remodeling-related-BRCA1 complex-2	Q8TAQ2
238-2	SWI-SNF chromatin remodeling-related-BRCA1 complex-2	Q92925
238-2	SWI-SNF chromatin remodeling-related-BRCA1 complex-2	Q969G3
238-2	SWI-SNF chromatin remodeling-related-BRCA1 complex-2	Q8NFD5
2381	ITGA2B-ITGB3 complex	P08514
2381	ITGA2B-ITGB3 complex	P05106
2382	ITGA2B-ITGB3-F11R complex	Q9Y624
2382	ITGA2B-ITGB3-F11R complex	P08514
2382	ITGA2B-ITGB3-F11R complex	P05106
2383	ITGA5-ITGB1-FN1-TGM2 complex	P02751
2383	ITGA5-ITGB1-FN1-TGM2 complex	P08648
2383	ITGA5-ITGB1-FN1-TGM2 complex	P05556
2383	ITGA5-ITGB1-FN1-TGM2 complex	P21980
2384	ITGA5-ITGB1-ADAM15 complex	Q13444
2384	ITGA5-ITGB1-ADAM15 complex	P08648
2384	ITGA5-ITGB1-ADAM15 complex	P05556
2385	ITGA5-ITGB4 complex	P08648
2385	ITGA5-ITGB4 complex	P05556
2390-1	CD98-LAT2-ITGB1 complex-1	P05556
2390-1	CD98-LAT2-ITGB1 complex-1	Q9UHI5
2390-1	CD98-LAT2-ITGB1 complex-1	P08195
2390-2	CD98-LAT2-ITGB1 complex-2	P05556
2390-2	CD98-LAT2-ITGB1 complex-2	Q9UHI5
2390-2	CD98-LAT2-ITGB1 complex-2	Q01650
2395	ITGA7-ITGB1-CD151 complex	P48509
2395	ITGA7-ITGB1-CD151 complex	Q13683
2395	ITGA7-ITGB1-CD151 complex	P05556
2396	ITGA7-ITGB1-CD9 complex	P21926
2396	ITGA7-ITGB1-CD9 complex	Q13683
2396	ITGA7-ITGB1-CD9 complex	P05556
2397	ITGA7-ITGB1-ITGB1BP3 complex	Q13683
2397	ITGA7-ITGB1-ITGB1BP3 complex	P05556
2397	ITGA7-ITGB1-ITGB1BP3 complex	Q9NPI5
2398	ITGA3-ITGB1-BSG complex	P35613
2398	ITGA3-ITGB1-BSG complex	P26006
2398	ITGA3-ITGB1-BSG complex	P05556
2399	ITGA3-ITGB1-CD63 complex	P08962
2399	ITGA3-ITGB1-CD63 complex	P26006
2399	ITGA3-ITGB1-CD63 complex	P05556
240	BRCA1-CTIP-ZBRK1 repressor complex	P38398
240	BRCA1-CTIP-ZBRK1 repressor complex	Q99708
240	BRCA1-CTIP-ZBRK1 repressor complex	Q9GZX5
2400	ITGA3-ITGB1-CD151 complex	P48509
2400	ITGA3-ITGB1-CD151 complex	P26006
2400	ITGA3-ITGB1-CD151 complex	P05556
2401	ITGA3-ITGB1-THBS1 complex	P26006
2401	ITGA3-ITGB1-THBS1 complex	P05556
2401	ITGA3-ITGB1-THBS1 complex	P07996
2406	ITGA3-ITGB1 complex	P26006
2406	ITGA3-ITGB1 complex	P05556
241	BLOC-3 (biogenesis of lysosome-related organelles complex 3)	Q92902
241	BLOC-3 (biogenesis of lysosome-related organelles complex 3)	Q9NQG7
2411	ITGA6-ITGB1-CD151 complex	P48509
2411	ITGA6-ITGB1-CD151 complex	P23229
2411	ITGA6-ITGB1-CD151 complex	P05556
2413	ITGA6-ITGB1 complex	P23229
2413	ITGA6-ITGB1 complex	P05556
2416	ITGB1-RAP1A-PKD1 complex	P05556
2416	ITGB1-RAP1A-PKD1 complex	P98161
2416	ITGB1-RAP1A-PKD1 complex	P62834
2417	ITGA4-ITGB1-EMILIN1 complex	Q9Y6C2
2417	ITGA4-ITGB1-EMILIN1 complex	P13612
2417	ITGA4-ITGB1-EMILIN1 complex	P05556
2418	ITGA4-ITGB1 complex	P13612
2418	ITGA4-ITGB1 complex	P05556
2419	ITGA4-ITGB1-CD81 complex	P60033
2419	ITGA4-ITGB1-CD81 complex	P13612
2419	ITGA4-ITGB1-CD81 complex	P05556
242	BRCA1-BACH1 complex	P38398
242	BRCA1-BACH1 complex	Q9BX63
2420	ITGA4-ITGB1-CD53 complex	P19397
2420	ITGA4-ITGB1-CD53 complex	P13612
2420	ITGA4-ITGB1-CD53 complex	P05556
2421	ITGA4-ITGB1-VCAM1 complex	P13612
2421	ITGA4-ITGB1-VCAM1 complex	P05556
2421	ITGA4-ITGB1-VCAM1 complex	P19320
2422	ITGA4-ITGB1-JAM2 complex	P13612
2422	ITGA4-ITGB1-JAM2 complex	P05556
2422	ITGA4-ITGB1-JAM2 complex	P57087
2423	ITGA4-ITGB1-CD47 complex	Q08722
2423	ITGA4-ITGB1-CD47 complex	P13612
2423	ITGA4-ITGB1-CD47 complex	P05556
2424	ITGA4-ITGB1-CD63 complex	P08962
2424	ITGA4-ITGB1-CD63 complex	P13612
2424	ITGA4-ITGB1-CD63 complex	P05556
2426	ITGA4-ITGB1-THBS1 complex	P13612
2426	ITGA4-ITGB1-THBS1 complex	P05556
2426	ITGA4-ITGB1-THBS1 complex	P07996
2428	ITGA4-ITGB1-THBS2 complex	P13612
2428	ITGA4-ITGB1-THBS2 complex	P05556
2428	ITGA4-ITGB1-THBS2 complex	P35442
2429	ITGA2-ITGB1-CD47 complex	Q08722
2429	ITGA2-ITGB1-CD47 complex	P17301
2429	ITGA2-ITGB1-CD47 complex	P05556
243	RalBP1-CDC2-CCNB1 complex	P14635
243	RalBP1-CDC2-CCNB1 complex	P06493
243	RalBP1-CDC2-CCNB1 complex	Q15311
2430	ITGA2-ITGB1-CHAD complex	O15335
2430	ITGA2-ITGB1-CHAD complex	P17301
2430	ITGA2-ITGB1-CHAD complex	P05556
2431	ITGA2-ITGB1-COL6A3 complex	P12111
2431	ITGA2-ITGB1-COL6A3 complex	P17301
2431	ITGA2-ITGB1-COL6A3 complex	P05556
2432	ITGA2-ITGB1 complex	P17301
2432	ITGA2-ITGB1 complex	P05556
2434	ITGA1-ITGB1-COL6A3 complex	P12111
2434	ITGA1-ITGB1-COL6A3 complex	P56199
2434	ITGA1-ITGB1-COL6A3 complex	P05556
2435	ITGA1-ITGB1-PTPN2 complex	P56199
2435	ITGA1-ITGB1-PTPN2 complex	P05556
2435	ITGA1-ITGB1-PTPN2 complex	P17706
2436	ITGAV-ITGB1 complex	P06756
2436	ITGAV-ITGB1 complex	P05556
2437	ITGA6-ITGB1-CYR61 complex	O00622
2437	ITGA6-ITGB1-CYR61 complex	P23229
2437	ITGA6-ITGB1-CYR61 complex	P05556
2439	ITGA8-ITGB1 complex	P53708
2439	ITGA8-ITGB1 complex	P05556
244	BRAFT complex	P54132
244	BRAFT complex	O15360
244	BRAFT complex	Q00597
244	BRAFT complex	Q9HB96
244	BRAFT complex	Q9NPI8
244	BRAFT complex	O15287
244	BRAFT complex	Q9NW38
244	BRAFT complex	P40692
244	BRAFT complex	Q9H9A7
244	BRAFT complex	P27694
244	BRAFT complex	P15927
244	BRAFT complex	P35244
244	BRAFT complex	Q13472
2440	ITGA9-ITGB1-ADAM9 complex	Q13443
2440	ITGA9-ITGB1-ADAM9 complex	Q13797
2440	ITGA9-ITGB1-ADAM9 complex	P05556
2442	ITGA9-ITGB1-VCAM1 complex	Q13797
2442	ITGA9-ITGB1-VCAM1 complex	P05556
2442	ITGA9-ITGB1-VCAM1 complex	P19320
2443	ITGA9-ITGB1-TNC complex	Q13797
2443	ITGA9-ITGB1-TNC complex	P05556
2443	ITGA9-ITGB1-TNC complex	P24821
2444	ITGB1-ITGA9 complex	Q13797
2444	ITGB1-ITGA9 complex	P05556
2445	ITGA9-ITGB1-ADAM15 complex	Q13444
2445	ITGA9-ITGB1-ADAM15 complex	Q13797
2445	ITGA9-ITGB1-ADAM15 complex	P05556
2446	ITGA9-ITGB1-FIGF complex	O43915
2446	ITGA9-ITGB1-FIGF complex	Q13797
2446	ITGA9-ITGB1-FIGF complex	P05556
2447	ITGA9-ITGB1-ADAM12 complex	O43184
2447	ITGA9-ITGB1-ADAM12 complex	Q13797
2447	ITGA9-ITGB1-ADAM12 complex	P05556
245	FA core complex (Fanconi anemia core complex)	Q0VG06
245	FA core complex (Fanconi anemia core complex)	O15360
245	FA core complex (Fanconi anemia core complex)	Q8NB91
245	FA core complex (Fanconi anemia core complex)	Q00597
245	FA core complex (Fanconi anemia core complex)	Q9HB96
245	FA core complex (Fanconi anemia core complex)	Q9NPI8
245	FA core complex (Fanconi anemia core complex)	O15287
245	FA core complex (Fanconi anemia core complex)	Q9NW38
245	FA core complex (Fanconi anemia core complex)	Q9H9A7
2453	Multiprotein complex (monoubiquitination)	Q13191
2453	Multiprotein complex (monoubiquitination)	P00533
2453	Multiprotein complex (monoubiquitination)	Q96B97
2453	Multiprotein complex (monoubiquitination)	Q5U5U6
2454	CIN85-CBL-SH3GL2-EGFR complex, EGF stimulated	P22681
2454	CIN85-CBL-SH3GL2-EGFR complex, EGF stimulated	P00533
2454	CIN85-CBL-SH3GL2-EGFR complex, EGF stimulated	Q3V639
2454	CIN85-CBL-SH3GL2-EGFR complex, EGF stimulated	Q96B97
2455	CIN85-SH3GL2 complex	Q99962
2455	CIN85-SH3GL2 complex	Q96B97
2456	MET-CIN85-SH3GL3-CBL complex, HGF stimulated	P22681
2456	MET-CIN85-SH3GL3-CBL complex, HGF stimulated	P08581
2456	MET-CIN85-SH3GL3-CBL complex, HGF stimulated	Q99963
2456	MET-CIN85-SH3GL3-CBL complex, HGF stimulated	Q96B97
2457	CIN85-SH3GL3 complex	Q99963
2457	CIN85-SH3GL3 complex	Q96B97
246	BLM complex III	P54132
246	BLM complex III	P40692
246	BLM complex III	Q9H9A7
246	BLM complex III	Q13472
2462	Caveolin-1 homodimer complex	Q03135
247-1	RalBP1-CCNB1-AP2A-NUMB-EPN1 complex-1	P14635
247-1	RalBP1-CCNB1-AP2A-NUMB-EPN1 complex-1	Q9Y6I3
247-1	RalBP1-CCNB1-AP2A-NUMB-EPN1 complex-1	P49757
247-1	RalBP1-CCNB1-AP2A-NUMB-EPN1 complex-1	Q15311
247-1	RalBP1-CCNB1-AP2A-NUMB-EPN1 complex-1	O95782
247-2	RalBP1-CCNB1-AP2A-NUMB-EPN1 complex-2	P14635
247-2	RalBP1-CCNB1-AP2A-NUMB-EPN1 complex-2	Q9Y6I3
247-2	RalBP1-CCNB1-AP2A-NUMB-EPN1 complex-2	P49757
247-2	RalBP1-CCNB1-AP2A-NUMB-EPN1 complex-2	Q15311
247-2	RalBP1-CCNB1-AP2A-NUMB-EPN1 complex-2	O94973
2470	p130Cas-ER-alpha-cSrc-kinase- PI3-kinase p85-subunit complex	P56945
2470	p130Cas-ER-alpha-cSrc-kinase- PI3-kinase p85-subunit complex	P03372
2470	p130Cas-ER-alpha-cSrc-kinase- PI3-kinase p85-subunit complex	P27986
2470	p130Cas-ER-alpha-cSrc-kinase- PI3-kinase p85-subunit complex	P12931
2471	SRC-PRKCD-CDCP1 complex	Q9H5V8
2471	SRC-PRKCD-CDCP1 complex	Q05655
2471	SRC-PRKCD-CDCP1 complex	P12931
2476	CRKL-PDGFRA-CRK-RAPGEF1 complex	P46108
2476	CRKL-PDGFRA-CRK-RAPGEF1 complex	P46109
2476	CRKL-PDGFRA-CRK-RAPGEF1 complex	P16234
2476	CRKL-PDGFRA-CRK-RAPGEF1 complex	Q13905
248	BRAFT complex	P54132
248	BRAFT complex	O15360
248	BRAFT complex	Q00597
248	BRAFT complex	Q9HB96
248	BRAFT complex	Q9NPI8
248	BRAFT complex	O15287
248	BRAFT complex	Q9NW38
248	BRAFT complex	P27694
248	BRAFT complex	P15927
248	BRAFT complex	P35244
248	BRAFT complex	Q13472
2480	CIN85 complex (CIN85, CRK, BCAR1, CBL, PIK3R1, GRB2, SOS1)	P56945
2480	CIN85 complex (CIN85, CRK, BCAR1, CBL, PIK3R1, GRB2, SOS1)	P22681
2480	CIN85 complex (CIN85, CRK, BCAR1, CBL, PIK3R1, GRB2, SOS1)	P46108
2480	CIN85 complex (CIN85, CRK, BCAR1, CBL, PIK3R1, GRB2, SOS1)	P62993
2480	CIN85 complex (CIN85, CRK, BCAR1, CBL, PIK3R1, GRB2, SOS1)	P27986
2480	CIN85 complex (CIN85, CRK, BCAR1, CBL, PIK3R1, GRB2, SOS1)	Q96B97
2480	CIN85 complex (CIN85, CRK, BCAR1, CBL, PIK3R1, GRB2, SOS1)	Q07889
2486	GIPC1-LHCGR complex	O14908
2486	GIPC1-LHCGR complex	P22888
2487	GIPC1-NTRK1-RGS19 complex	O14908
2487	GIPC1-NTRK1-RGS19 complex	P04629
2487	GIPC1-NTRK1-RGS19 complex	P49795
2489	NCR3-CD247 complex	P20963
2489	NCR3-CD247 complex	O14931
251	BCDX2 complex	O43502
251	BCDX2 complex	O15315
251	BCDX2 complex	O75771
251	BCDX2 complex	O43543
2510	ZAP70-CRKL-WIPF1-WAS complex	P46109
2510	ZAP70-CRKL-WIPF1-WAS complex	P42768
2510	ZAP70-CRKL-WIPF1-WAS complex	O43516
2510	ZAP70-CRKL-WIPF1-WAS complex	P43403
2511	CRKL-WIPF1-WAS complex	P46109
2511	CRKL-WIPF1-WAS complex	P42768
2511	CRKL-WIPF1-WAS complex	O43516
2513	N-WASp homomer	O00401
252	RAD51C-XRCC3 complex	O43502
252	RAD51C-XRCC3 complex	O43542
2528	ERBB2-MEMO-SHC complex	P04626
2528	ERBB2-MEMO-SHC complex	Q9Y316
2528	ERBB2-MEMO-SHC complex	P29353
2529	LAT-PLC-gamma-1-p85-GRB2-CBL-VAV-SLP-76 signaling complex, C305 activated	P22681
2529	LAT-PLC-gamma-1-p85-GRB2-CBL-VAV-SLP-76 signaling complex, C305 activated	P62993
2529	LAT-PLC-gamma-1-p85-GRB2-CBL-VAV-SLP-76 signaling complex, C305 activated	O43561
2529	LAT-PLC-gamma-1-p85-GRB2-CBL-VAV-SLP-76 signaling complex, C305 activated	Q13094
2529	LAT-PLC-gamma-1-p85-GRB2-CBL-VAV-SLP-76 signaling complex, C305 activated	P27986
2529	LAT-PLC-gamma-1-p85-GRB2-CBL-VAV-SLP-76 signaling complex, C305 activated	P19174
2529	LAT-PLC-gamma-1-p85-GRB2-CBL-VAV-SLP-76 signaling complex, C305 activated	P15498
253	RAD51C-XRCC3 complex	O43502
253	RAD51C-XRCC3 complex	O43542
2534	Cbl-SLP-76-Grb2 complex, Fc receptor gamma-R1 stimulated	P22681
2534	Cbl-SLP-76-Grb2 complex, Fc receptor gamma-R1 stimulated	P62993
2534	Cbl-SLP-76-Grb2 complex, Fc receptor gamma-R1 stimulated	Q13094
2535	SLP-76-Cbl-Grb2-Shc complex, Fc receptor gamma-R1 stimulated	P22681
2535	SLP-76-Cbl-Grb2-Shc complex, Fc receptor gamma-R1 stimulated	P62993
2535	SLP-76-Cbl-Grb2-Shc complex, Fc receptor gamma-R1 stimulated	Q13094
2535	SLP-76-Cbl-Grb2-Shc complex, Fc receptor gamma-R1 stimulated	P29353
2536	PLC-gamma-2-SLP-76-Lyn-Grb2 complex	P62993
2536	PLC-gamma-2-SLP-76-Lyn-Grb2 complex	Q13094
2536	PLC-gamma-2-SLP-76-Lyn-Grb2 complex	P07948
2536	PLC-gamma-2-SLP-76-Lyn-Grb2 complex	P16885
2537	PKC-alpha-PLD1-PLC-gamma-2 signaling complex, lacritin stimulated	P16885
2537	PKC-alpha-PLD1-PLC-gamma-2 signaling complex, lacritin stimulated	Q13393
2537	PKC-alpha-PLD1-PLC-gamma-2 signaling complex, lacritin stimulated	P17252
254	TBPIP/HOP2-MND1 complex	Q9BWT6
254	TBPIP/HOP2-MND1 complex	Q9P2W1
2540	BCR-ABL (p210 fusion protein)-GRB2 complex	A1Z199
2540	BCR-ABL (p210 fusion protein)-GRB2 complex	P62993
2541	HGF-Met complex	P14210
2541	HGF-Met complex	P08581
2542	EGFR-CBL-GRB2 complex	P22681
2542	EGFR-CBL-GRB2 complex	P00533
2542	EGFR-CBL-GRB2 complex	P62993
2547	PLC-gamma-1-SLP-76-SOS1-LAT complex	O43561
2547	PLC-gamma-1-SLP-76-SOS1-LAT complex	Q13094
2547	PLC-gamma-1-SLP-76-SOS1-LAT complex	P19174
2547	PLC-gamma-1-SLP-76-SOS1-LAT complex	Q07889
2551	PDGFRA-PLC-gamma-1-PI3K-SHP-2 complex, PDGF stimulated	P16234
2551	PDGFRA-PLC-gamma-1-PI3K-SHP-2 complex, PDGF stimulated	P27986
2551	PDGFRA-PLC-gamma-1-PI3K-SHP-2 complex, PDGF stimulated	P19174
2551	PDGFRA-PLC-gamma-1-PI3K-SHP-2 complex, PDGF stimulated	Q06124
2559	p56(LCK)-CAML complex	P49069
2559	p56(LCK)-CAML complex	P06239
256	RAD51B-RAD51C complex	O43502
256	RAD51B-RAD51C complex	O15315
2563	FGFR2-c-Cbl-Lyn-Fyn complex	P22681
2563	FGFR2-c-Cbl-Lyn-Fyn complex	P21802
2563	FGFR2-c-Cbl-Lyn-Fyn complex	P06241
2563	FGFR2-c-Cbl-Lyn-Fyn complex	P07948
2564	p21(ras)GAP-Fyn-Lyn-Yes complex, thrombin stimulated	P06241
2564	p21(ras)GAP-Fyn-Lyn-Yes complex, thrombin stimulated	P07948
2564	p21(ras)GAP-Fyn-Lyn-Yes complex, thrombin stimulated	P20936
2564	p21(ras)GAP-Fyn-Lyn-Yes complex, thrombin stimulated	P07947
2565	CD20-LCK-LYN-FYN-p75/80 complex, (Raji human B cell line)	P06241
2565	CD20-LCK-LYN-FYN-p75/80 complex, (Raji human B cell line)	P06239
2565	CD20-LCK-LYN-FYN-p75/80 complex, (Raji human B cell line)	P07948
2565	CD20-LCK-LYN-FYN-p75/80 complex, (Raji human B cell line)	P11836
2572	RAB5-EEA1 complex	Q15075
2572	RAB5-EEA1 complex	P20339
2573	Class C VPS/HOPS complex	Q15075
2573	Class C VPS/HOPS complex	P20339
2573	Class C VPS/HOPS complex	Q9H270
2573	Class C VPS/HOPS complex	Q9H269
2573	Class C VPS/HOPS complex	Q9P253
2573	Class C VPS/HOPS complex	Q96JC1
2574	CD19-Vav-PI 3-kinase (p85 subunit) complex	P15391
2574	CD19-Vav-PI 3-kinase (p85 subunit) complex	P27986
2574	CD19-Vav-PI 3-kinase (p85 subunit) complex	P15498
2577	Sam68-p85 P13K-IRS-1-IR signaling complex	P06213
2577	Sam68-p85 P13K-IRS-1-IR signaling complex	P35568
2577	Sam68-p85 P13K-IRS-1-IR signaling complex	Q07666
2577	Sam68-p85 P13K-IRS-1-IR signaling complex	P27986
2578	Sam68-p120GAP complex	Q07666
2578	Sam68-p120GAP complex	P20936
2579	Chromosomal passenger complex CPC (INCENP, BIRC5, AURKB)	Q96GD4
2579	Chromosomal passenger complex CPC (INCENP, BIRC5, AURKB)	O15392
2579	Chromosomal passenger complex CPC (INCENP, BIRC5, AURKB)	Q9NQS7
258	BCDX2 complex	O43502
258	BCDX2 complex	O15315
258	BCDX2 complex	O75771
258	BCDX2 complex	O43543
2580	Survivin homodimer complex	O15392
2581-1	RasGAP-AURKA/AURKB-survivin complex-1	O15392
2581-1	RasGAP-AURKA/AURKB-survivin complex-1	P20936
2581-1	RasGAP-AURKA/AURKB-survivin complex-1	O14965
2581-2	RasGAP-AURKA/AURKB-survivin complex-2	O15392
2581-2	RasGAP-AURKA/AURKB-survivin complex-2	P20936
2581-2	RasGAP-AURKA/AURKB-survivin complex-2	Q96GD4
2582	Chromosomal passenger complex CPC (CDCA8, AURKB, BIRC5)	Q96GD4
2582	Chromosomal passenger complex CPC (CDCA8, AURKB, BIRC5)	O15392
2582	Chromosomal passenger complex CPC (CDCA8, AURKB, BIRC5)	Q53HL2
2589	PGC-1-SRp40-SRp55-SRp75 complex	Q9UBK2
2589	PGC-1-SRp40-SRp55-SRp75 complex	Q08170
2589	PGC-1-SRp40-SRp55-SRp75 complex	Q13243
2589	PGC-1-SRp40-SRp55-SRp75 complex	Q13247
259	RAD51C-XRCC3 complex	O43502
259	RAD51C-XRCC3 complex	O43542
2590	FOXO1-FHL2-SIRT1 complex	Q14192
2590	FOXO1-FHL2-SIRT1 complex	Q12778
2590	FOXO1-FHL2-SIRT1 complex	Q96EB6
2592	SIRT1 homotrimer complex	Q96EB6
2593	FOXO3-SIRT1 complex, oxidative stress stimulated	O43524
2593	FOXO3-SIRT1 complex, oxidative stress stimulated	Q96EB6
2598	NELF complex (Negative elongation factor complex)	Q8WX92
2598	NELF complex (Negative elongation factor complex)	P18615
2598	NELF complex (Negative elongation factor complex)	Q8IXH7
2598	NELF complex (Negative elongation factor complex)	Q9H3P2
2599	POLR2A-CCNT1-CDK9-NCL-LEM6-CPSF2 complex	O60563
2599	POLR2A-CCNT1-CDK9-NCL-LEM6-CPSF2 complex	P50750
2599	POLR2A-CCNT1-CDK9-NCL-LEM6-CPSF2 complex	Q9P2I0
2599	POLR2A-CCNT1-CDK9-NCL-LEM6-CPSF2 complex	P19338
2599	POLR2A-CCNT1-CDK9-NCL-LEM6-CPSF2 complex	P24928
2599	POLR2A-CCNT1-CDK9-NCL-LEM6-CPSF2 complex	Q9UBK2
260	RAD51B-RAD51C complex	O43502
260	RAD51B-RAD51C complex	O15315
2600	BRD4 complex	O60885
2600	BRD4 complex	O60563
2600	BRD4 complex	P50750
2600	BRD4 complex	Q15648
2600	BRD4 complex	Q93074
2600	BRD4 complex	O60244
2600	BRD4 complex	Q9NVC6
2600	BRD4 complex	O75448
2601	P-TEFb-BRD4-TRAP220 complex	O60885
2601	P-TEFb-BRD4-TRAP220 complex	O60563
2601	P-TEFb-BRD4-TRAP220 complex	P50750
2601	P-TEFb-BRD4-TRAP220 complex	Q15648
2602	P-TEFb-7SKRNA-HEXIM1 complex	O60563
2602	P-TEFb-7SKRNA-HEXIM1 complex	P50750
2602	P-TEFb-7SKRNA-HEXIM1 complex	O94992
2603	Transcription elongation factor complex (SUPT5H, CDK9, CCNT1)	O60563
2603	Transcription elongation factor complex (SUPT5H, CDK9, CCNT1)	P50750
2603	Transcription elongation factor complex (SUPT5H, CDK9, CCNT1)	O00267
2604	P-TEFb-SKP2 complex	O60563
2604	P-TEFb-SKP2 complex	P50750
2604	P-TEFb-SKP2 complex	Q13309
2605	Heterotrimeric complex (CCNT1, CDK9, GRN)	O60563
2605	Heterotrimeric complex (CCNT1, CDK9, GRN)	P50750
2605	Heterotrimeric complex (CCNT1, CDK9, GRN)	P28799
261	RAD51B-RAD51C-RAD51D-XRCC2-XRCC3 complex	O43502
261	RAD51B-RAD51C-RAD51D-XRCC2-XRCC3 complex	O15315
261	RAD51B-RAD51C-RAD51D-XRCC2-XRCC3 complex	O75771
261	RAD51B-RAD51C-RAD51D-XRCC2-XRCC3 complex	O43543
261	RAD51B-RAD51C-RAD51D-XRCC2-XRCC3 complex	O43542
262	RAD51L3-XRCC2 complex	O75771
262	RAD51L3-XRCC2 complex	O43543
2625	CDK8-MED6-PARP1 complex	P49336
